1, 6807, 68.4, 0.93
2, 6808, 68.43, 0.95
3, 6809, 67.45, 0.88
4, 6810, 67.51, 0.83
5, 6811, 67.92, 0.91
6, 6812, 68.04, 0.89
7, 6813, 67.5, 0.86
8, 6814, 67.58, 0.89
9, 6815, 67.62, 0.86
10, 6816, 68.25, 0.92
11, 6817, 68.09, 0.92
12, 6818, 67.95, 0.92
13, 6819, 67.74, 0.89
14, 6820, 67.62, 0.87
15, 6821, 68.05, 0.91
16, 6822, 68.28, 1
17, 6823, 68.09, 0.88
18, 6824, 67.94, 0.87
19, 6825, 67.73, 0.9
20, 6826, 68.35, 1
21, 6827, 68.32, 0.92
22, 6828, 67.44, 0.88
23, 6829, 67.51, 0.88
24, 6830, 67.71, 0.87
25, 6831, 67.83, 0.84
26, 6832, 68.21, 0.84
27, 6833, 68.34, 0.92
28, 6834, 68.37, 0.93
29, 6835, 68.4, 0.9
30, 6836, 67.37, 0.79
31, 6837, 67.34, 1.2
32, 6838, 67.82, 0.87
33, 6839, 67.91, 0.92
34, 6840, 67.99, 0.92
35, 6841, 68.34, 0.95
36, 6842, 68.13, 0.93
37, 6843, 68.26, 0.87
38, 6844, 68.02, 0.87
39, 6845, 67.44, 0.89
40, 6846, 68.13, 0.85
41, 6847, 67.81, 0.79
42, 6848, 67.71, 0.79
43, 6849, 67.59, 0.79
44, 6850, 67.52, 0.8
45, 6851, 67.44, 0.78
46, 6852, 68.46, 0.97
47, 6853, 67.43, 0.86
48, 6854, 68.6, 1
49, 6855, 67.6, 0.76
50, 6856, 68.6, 1.1
51, 6857, 68.55, 1.1
52, 6858, 68.52, 0.97
53, 6859, 68.38, 0.93
54, 6860, 68.23, 0.86
55, 6861, 68.09, 0.86
56, 6862, 67.56, 0.83
57, 6863, 68.5, 0.87
58, 6864, 68.49, 0.93
59, 6865, 68.41, 0.9
60, 6866, 68.08, 0.86
61, 6867, 68.02, 0.83
62, 6868, 67.68, 0.78
63, 6869, 67.99, 0.83
64, 6870, 68.35, 0.9
65, 6871, 68.32, 0.9
66, 6872, 67.85, 0.81
67, 6873, 67.73, 0.79
68, 6874, 67.94, 0.87
69, 6875, 67.76, 0.83
70, 6876, 67.63, 0.83
71, 6877, 67.54, 0.85
72, 6878, 67.79, 0.83
73, 6879, 67.9, 0.83
74, 6880, 68.47, 0.9
75, 6881, 68.42, 0.89
76, 6882, 68.08, 0.86
77, 6883, 68.19, 0.92
78, 6884, 68.39, 0.88
79, 6885, 68.47, 0.96
80, 6886, 67.53, 0.82
81, 6887, 67.45, 0.87
82, 6888, 67.88, 0.82
83, 6889, 67.83, 0.8
84, 6890, 67.92, 0.75
85, 6891, 68.01, 0.76
86, 6892, 68.61, 0.84
87, 6893, 68.48, 0.81
88, 6894, 67.82, 0.75
89, 6895, 68.08, 0.79
90, 6896, 68.18, 0.8
91, 6897, 68.31, 0.8
92, 6898, 68.65, 0.81
93, 6899, 68.65, 0.88
94, 6900, 67.89, 0.76
95, 6901, 67.83, 0.73
96, 6902, 68.31, 0.81
97, 6903, 68.27, 0.79
98, 6904, 68.55, 0.85
99, 6905, 67.58, 0.79
100, 6906, 67.64, 0.74
101, 6907, 68.02, 0.79
102, 6908, 68.16, 0.78
103, 6909, 68.25, 0.77
104, 6910, 68.74, 1.1
105, 6911, 68.68, 0.93
106, 6912, 68.64, 0.87
107, 6913, 67.56, 0.82
108, 6914, 68.36, 1
109, 6915, 68.43, 1.3
110, 6916, 68.52, 0.8
111, 6917, 67.95, 0.78
112, 6918, 68.59, 0.88
113, 6919, 67.93, 1.2
114, 6920, 67.83, 1.1
115, 6921, 67.92, 0.84
116, 6922, 67.81, 0.77
117, 6923, 67.69, 0.83
118, 6924, 68.13, 0.8
119, 6925, 67.55, 0.74
120, 6926, 68.03, 0.76
121, 6927, 68.5, 0.91
122, 6928, 68.5, 1.4
123, 6929, 68.66, 1
124, 6930, 68.65, 1.3
125, 6931, 68.57, 0.86
126, 6932, 68, 0.8
127, 6933, 67.83, 0.74
